"Overview Details","Course","Fees","Eligibility","Application Date","Action","About Section Text","Chandigarh University Highlights","Unnamed: 1","Eligibility Criteria","Selection Criteria","Total Tuition Fees","Entrance Exam","Chandigarh University Cutoff 2024","Particulars","Placement Statistics 2023-24","Ranking Body","Category","Rank","Marks Obtained","CUCET Phase I","CUCET Phase II","Rooms","Non-AC (Per Annum)","AC (Per Annum)","Unnamed: 3","Unnamed: 4","Name","Achievements","Photo","Nearest Mode of Transportation","Distance","Chandigarh University Departments","Unnamed: 2","Chandigarh University Collaborations","Ratings (Out of 5)","Stream","No. of Students Placed","All India Rank (AIR)","Amount of Scholarship provided","Percentage of Marks","Class XII Marks"
"Chandigarh University: Admission 2024, Courses, Fees, Placements, RankingChandigarh,  ChandigarhPrivate UniversityEstd 2012NAAC Grade A+ 3.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","BE13  Courses","₹1.9 Lakhs - 2.92 Lakhs (1st Year Fees) Check Details","10+2 with 50% + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","MBA18  Courses","₹2.55 Lakhs - 3.85 Lakhs (1st Year Fees) Check Details","Graduation with 50% + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","BBA9  Courses","₹1.73 Lakhs - 1.83 Lakhs (1st Year Fees) Check Details","10+2 with 50% + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","B.Com {Hons.}5  Courses","₹1.65 Lakhs (1st Year Fees) Check Details","10+2 with 50% + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","B.Sc14  Courses","₹88,500 - 2.21 Lakhs (1st Year Fees) Check Details","10+2 with 50%","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","BA4  Courses","₹76,500 - 1.63 Lakhs (1st Year Fees) Check Details","10+2 with 55% + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Ph.D28  Courses","₹1.57 Lakhs (1st Year Fees) Check Details","Post Graduation","1 Dec 2023","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","M.Sc15  Courses","₹88,500 - 1.65 Lakhs (1st Year Fees) Check Details","Graduation + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","M.Pharm4  Courses","₹1.85 Lakhs - 2.07 Lakhs (1st Year Fees) Check Details","B.Pharm + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Master of Laws [L.L.M.]","₹1.65 Lakhs (Total Fees) Check Details","L.L.B. with 50% + CUCET","19 July 2024","Apply Now","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","About Chandigarh University
Written By 
Collegedunia Team
 


Chandigarh University 
was established in 
2012 
in Mohali, Punjab. 
Chandigarh University
 is accredited with an
 “A+”
 Grade by NAAC and recognized by UGC & AICTE. It is also approved by ICAR, BCI, NCHMCT, PCI, COA, NCTE, AIU, and CSI. Chandigarh University is a member of IAU, ACU, IEEE, ASME, IUCEE and ACS. 
Chandigarh University's ranking
 is 
27th 
among all the Indian Universities by NIRF 2023. It is the first private university in India to earn 
ABET accreditation
 for the highest number of engineering programmes. 


Chandigarh University has 18 Institutes offering 
200+ courses
 in Management, Engineering, Journalism, and other fields in both regular and distance learning modes. 
Chandigarh University fees 
range from 
INR 1.35 Lakhs to INR 12.68 Lakhs
 for various courses offered at undergraduate, postgraduate and doctoral levels. The 
popular courses
 of Chandigarh University are 
B.Tech, MBA, BBA, BCA, B.Com and M.Tech
.


Chandigarh University course admission
 is based on the entrance examination held by the university itself called 
Chandigarh University Common Entrance Test (
CUCET
).
 However, 
admission to Chandigarh University
 can also be taken based on merit in the national level examinations like CUET, JEE Mains, CAT, XAT, NATA, etc. Candidates scoring more than 
90% marks
 in the last qualifying examination are exempted from 
CUCET
. Additionally, the JEE Mains qualifiers having a rank up to 
50,000
 can apply for 
direct admission to Chandigarh University
 B.Tech courses. 


Chandigarh University Placements 
2023-24 is concluded with 
9,124
 placement offers. 
Chandigarh University’s highest package
 is
 INR 1.7 CPA
 offered by a US-based company to a B.Tech CSE-IBM Information Security student. The average package of Chandigarh University increased by 
16.14%
 in 2023 and stood at 
INR 9.54 LPA.


Chandigarh University campus
 is situated over an area of 
105.58 acres
 equipped with modern infrastructure and facilities. The university has a diverse crowd with over 
26,000 students
 from 50+ countries providing them with valuable social exposure.




Table of Contents:




Chandigarh University Highlights


Chandigarh University Courses & Fees


Chandigarh University Admission 2024


CUCET 2024


Chandigarh University Cutoff 2024


Chandigarh University Placements 2024


Chandigarh University Ranking 2024 


Chandigarh University Scholarships 2024


Chandigarh University Campus


Chandigarh University Notable Alumni


How to reach Chandigarh University?


Chandigarh University Faculty


Chandigarh University Departments 


Chandigarh University Collaborations 


Chandigarh University Student Reviews


Chandigarh University FAQs 










Chandigarh University Highlights


Here are some of the important highlights of Chandigarh University (CU):










Chandigarh University Highlights










University Name


Chandigarh University (CU)






Established | Institute Type


2012 | Private






Location


Mohali, Punjab






Campus Area


105.58 Acres






NAAC Grade


A+ (3.28 CGPA)






Recognized By


UGC, AICTE, ICAR, BCI, PCI, COA, AIU






Rankings


QS World University Rankings 2024: 
1
st
 (Private Universities in India)

			NIRF Ranking 2023 (University): 
27
th
 

			NIRF Ranking 2023 (Overall): 
45
th






Number of Institutes 


18






Top Courses


B.E/B.Tech, M.Tech, MBA, BBA, BCA






CU Official Website


https://www.cuchd.in/
 
















Chandigarh University Courses & Fees


Chandigarh University offers over 
200 courses
 in various streams with the best ROI. The university also offers industry-oriented and professional courses in MBA and 
CSE
 programs. At the undergraduate level, Chandigarh University offers courses like B.Tech, B.Pharma, BBA, BCA, B.Com, BA, B.Sc., etc in different specializations. CUCHD also offers various PG programmes like MBA, MCA, M.Tech, MA, M.Com, M.Arch, etc. Chandigarh University encourages students to do research in various fields and thus offers Ph.D. courses in 
22 
specializations. 


The university also provides MBA in collaboration with industries like 
IBM, NSE Academy, SAS
, etc. Additionally, the university offers distance education through 
CUIDOL
 in courses like BBA, MBA, B.Com, M.Com, MA English, MA Psychology, etc. Chandigarh University offers 
19 online degree programs.
 


Here are the major details on the eligibility criteria and tuition fees for some of the popular programs of Chandigarh University:










Course


Eligibility Criteria 


Selection Criteria


Total Tuition Fees










B.E./ B.Tech


Passed 10+2 with Physics and Mathematics as compulsory subjects with at least 50-70% marks 


CUCET/ JEE Mains


INR 8.16 Lakhs - INR 10.85 Lakhs 






MBA


Passed Bachelor’s Degree in any discipline with 50% marks in aggregate 


CUCET/ CAT/ MAT/ XAT/ ATMA/ CMAT


INR 4.40 Lakhs - INR 6.80 Lakhs






BBA


Passed 10+2 with 50% marks in aggregate 


CUCET


INR 6.20 Lakhs






BCA 


Passed 10+2 with 50% marks in aggregate


CUCET


INR 5.80 Lakhs 






M.E./ M.Tech


Passed Bachelor’s Degree in Engineering or equivalent field with 55% marks in aggregate 


CUCET


INR 2.26 Lakhs 






B.Com (Hons.)


Passed 10+2 in any field with 50% marks in aggregate 


CUCET


INR 4.47 Lakhs






M.Com


Passed B.Com/ BBA/ BA Economics/ BA Maths/ BA Statistics with 50% marks in aggregate 


CUCET


INR 2.80 Lakhs






B.Des


Passed 10+2 in any field or 3-year diploma with 50% marks in aggregate 


CUCET


INR 7.40 Lakhs - INR 7.60 Lakhs






B.Arch


CUCET/ NATA


INR 5.49 Lakhs






B.Sc.


Passed 10+2 in any field or 3-year diploma with 50% marks in aggregate 


CUCET


INR 3 Lakhs - INR 5.56 Lakhs






M.Sc.


Passed B.Sc with 50% marks in aggregate 


CUCET


INR 1.40 Lakhs - INR 2.98 Lakhs 






MCA


Passed Bachelor’s Degree with Maths at Graduation or 10+2 level with 50% marks in aggregate 


CUCET


INR 3 Lakhs - INR 3.18 Lakhs






BA


Passed 10+2 in any field with 50% marks in aggregate 


CUCET


INR 3.60 Lakhs - INR 5.88 Lakhs






MA


Passed Bachelor’s Degree with 50% marks in aggregate in any field 


CUCET


INR 1.40 Lakhs - INR 2.50 Lakhs






BPharm


Passed 10+2 in any field with 60% marks in aggregate Physics, Chemistry, Mathematics/Biology as compulsory subjects


CUCET


INR 5.5 Lakhs






M.Pharm


Passed B. Pharm. Examination with at least 55%


CUCET


INR 1.89 Lakhs






BA LLB


Passed 10+2 with atleast 60% marks in any stream 


CUCET


INR 4.94 Lakhs






LLB


Passed Bachelor’s Degree with 50% marks in aggregate in any field 


CUCET


INR 2.10 Lakhs






LLM


Passed Bachelor's Degree in Law (LLB) with atleast 50%


CUCET


INR 1.47 Lakhs














Chandigarh University Admission 2024


Chandigarh University course admission 
is held in two different phases namely CUCET-I and CUCET-II. Phase I is usually conducted from October to May followed by Phase II from May to October. 
Chandigarh University's admission process
 is conducted online and offline. The application fee of Chandigarh University is 
INR 1,000
 for undergraduate and postgraduate students. For Ph.D. applicants, the application fee is
 INR 1,100
. The candidates need to create their profiles on the CUCET portal for admission to the university.


To apply online for CUCET, candidates must register on the 
Chandigarh University official website
 @
https://www.cuchd.in/admissions/
 with the necessary details. The login credentials will be sent to the registered email and mobile number. After logging in, students must download the E-prospectus and fill out the application form available inside the prospectus to apply for admission. 


Students can also apply offline for 
admission
 by downloading the application form. The duly filled application form with a demand draft of INR 1000 must be sent to the following address: Admission Office, Chandigarh University, SCO 223, First Floor, Sector 36 D, Chandigarh - 160036. Post this, students can receive a prospectus from 
Chandigarh University Campus
 or the local Admission Office of the university.






CUCET 2024


Chandigarh University entrance exam
 (CUCET) is a National-level online entrance cum scholarship test conducted by the university. CUCET is mandatory for admission to Engineering, MBA, Pharmacy, LL.M., and Integrated Law Programs. Chandigarh University also provides scholarships based on CUCET scores. The duration of 
CUCET
 is 
2 Hours 
and it has 
100 MCQs.


The 
CUCET application form
 is available in both online and offline modes. Below are the steps for
 CUCET registration
:




Visit the CUCET official website @
cucet.cuchd.in
 
for registration and to create your profile.


You will receive a confirmation message through SMS/E-Mail after a successful registration. 


After registration, you need to pay a registration fee of INR 1000 which includes the digital copy of the prospectus.


Fill in the current qualification. Choose the CUCET exam date available in the dropdown.


Appear for the CUCET exam on the scheduled date and time through the official portal with registered login details.


The result will be intimated through E-mail and will also be displayed on the official portal in your login account. 








Chandigarh University Cutoff 2024 


According to the student’s experiences, the 
Chandigarh University cutoff
 is not very high and the applicant can easily crack the examination (CUCET) with enough preparation for domain subjects. The counsellors at the university also help students in the admission process. Chandigarh University's CUCET cutoff is 
30%
 for Phase I and Phase II. 


The table below shows the 
cutoff
 of Chandigarh University:










Entrance Exam


Chandigarh University Cutoff 2024










CUCET


30 Marks  














Chandigarh University Placements 2024


Chandigarh University Placements
 2023-24 witnessed the highest package of 
INR 1.7 CPA
 at the global level for a B.Tech CSE student. The 
highest package of Chandigarh University
 at the national level is 
INR 54.75 LPA. 
Based on the student reviews, 
Chandigarh University’s average package for CSE
 ranges from 
INR 4 LPA to INR 7 LPA. 
The 
placement
 opportunities are available for various courses like B.Tech, MBA, M.Tech, etc. 


Given below are the statistics of 
Chandigarh University Placements
:










Particulars


Placement Statistics 2023-24










Highest Package (International)


INR 1.7 CPA






Highest Package (Domestic)


INR 54.75 LPA






Average Package


INR 9.54 LPA






Total Job Offers


9,124






No. of Companies Visited


904






No. of Students Placed


9124






Average Monthly Stipend


INR 38,427 Per Month 










 Some of the top recruiters of Chandigarh University Placements in 2023-24 are as follows:




Amazon


Flipkart


Deloitte


IBM


Earnest Young


Bank of America


Microsoft










Chandigarh University Ranking 2024


Chandigarh University's
 
NIRF ranking
 is 
27
th
 among all the Indian Universities. The university is ranked 
45
th
 in the “Overall” category, 
36
th
 in the “Management” category, 
38
th
 in the “Engineering” category, 
34
th
 in the “Pharmacy” category and 
15
th
 
in the “Architecture” category.  


Here is detailed information on the 
ranking
 of Chandigarh University:










Ranking Body 


Category 


Rank










NIRF Ranking 2023


Overall


45
th
 






University


27
th
 






Engineering


38
th
 






Management


36
th
 






Pharmacy


34
th
 






Architecture


15
th
 






QS World University Rankings 2025


Private Indian Universities


691-700






QS Asia Rankings 2024


Private Indian Universities


1
st
 






Overall Rank in Asia


149
th
 






QS World University Ranking by Subject 2024


Business and Management Studies 


18
th
 






Engineering and Technology 


11
th
 






Computer Science & Information Systems


10
th
 






Engineering - Mechanical, Aeronautical & Manufacturing


14
th
 






Hospitality & Leisure Management 


1
st
 






Social Sciences & Management


9
th
 
















Chandigarh University Scholarships 2024


Chandigarh University offers 
scholarships
 based on entrance tests, academic performance, sports, and defence quotas under multiple programs to encourage and motivate bright students. Some of the 
Chandigarh University Scholarships
 are mentioned below:




Merit Scholarship Schemes 


CUCET Scholarship


Post Graduate Scholarship for Professional Courses for SC/ST


Teaching Assistant Stipend


Scholarship Scheme for Wards of Defence Personnel


Architecture Scholarship on the Basis of NATA/JEE (Main) Score


Early Bird Scholarship For PG Students




CUCET Scholarship


Candidates taking the Chandigarh University Common Entrance Test (CUCET) can also avail of scholarships based on their scores. Below are the details about the CUCET Scholarship:










Marks Obtained


CUCET Phase I


CUCET Phase II










90.01 to 100 Marks


100% Scholarship


100% Scholarship






80 to 90 Marks


50% Scholarship


40% Scholarship






70 to 79.99 Marks


40% Scholarship


30% Scholarship






60 to 69.99 Marks


30% Scholarship


20% Scholarship






50 to 59.99 Marks


25% Scholarship


15% Scholarship






40 to 49.99 Marks


15% Scholarship


10% Scholarship






30 to 39.99 Marks


Eligible 


Eligible 














Chandigarh University Campus  


Chandigarh University has a vibrant campus
 
and it provides ample opportunities to students for cultural exchange and education. The following facilities are available at Chandigarh University:




Excellent Research Infrastructure: 
Chandigarh University has established the Technology Business Incubator (TBI), Kalpana Chawla Centre for Research in Space Science & Technology, and various other
 State-of-the-art Research labs
, some of which are unique among Indian universities.


Libraries: 
Chandigarh University has 18 libraries situated in different academic blocks with a rich collection of more than
 110000+ books
, 
236433 e-books
, and 
35034 e-journals
. CU Library has an institutional membership with DELNET and the British Council Library. 


Multiple Labs: 
Chandigarh University has over 30+ labs that are 
industry-sponsored advanced research labs 
such as Microsoft, HPE, IBM, Redhat, and many more. Apart from this Chandigarh University also has a Civil Engineering Lab, Computer Lab, Electrical Lab, Electronics Lab, Film Lab, Mechanical Lab, etc.


Sports & Adventure: 
Chandigarh University has a dedicated sports department offering a plethora of opportunities to maintain a healthy and active lifestyle while pursuing academic goals. The university offers state-of-the-art sports facilities, mentoring by sports experts, and a chance to avail sports scholarships.






Virtual Tour of Chandigarh University Campus


Apart from that, Chandigarh University also offers various other facilities to its students which are as follows: 




Transport Facilities


Banking Facilities


Medical Facilities


Eating Joints & Retail


Mentoring & Value Inculcation








Chandigarh University Hostel Fees 2024


Chandigarh University Hostels
 are available for boys and girls separately with all the modern facilities and an attached mess.
 
The 
hostels
 have all major facilities like internet, music room, common room, cable facility, salon facilities, indoor games and a reading room with a collection of national/international newspapers, magazines, etc. CU hostels also have a fully equipped gym and separate courts for Volleyball, Basketball, and Badminton. 


Chandigarh University Hostel Fees have been listed below for different types of rooms: 










Rooms


Non-AC (Per Annum)


AC (Per Annum)










5 Seater (Boys Only)


INR 1,06,800 


NA


INR 1,38,000 


1,746 USD






4 Seater (For Boys and Girls)


INR 1,20,000 


1,920 USD


NA


NA 






3 Seater (For International Girls Only)


NA


2,100 USD


INR 1,51,800 


2,400 USD






2 Seater (Boys Only)


INR 1,68,000 


2,520 USD


INR 1,98,000 


2,880 USD






1 Seater (Boys Only)


INR 1,81,200 


2,760 USD


INR 2,10,000 


3,240 USD












 
Chandigarh University Hostel Rooms








Chandigarh University Notable Alumni


Chandigarh University Alumni Association (CUAA) was established in the year 2015 to maintain a relationship with a worldwide community of CU Alumni. This association is a platform for celebrating achievements, sharing knowledge, engagement activities, cooperation, in-campus & out-campus services, etc. The students can also earn a CUAA lifetime membership. Some of the notable alumni of Chandigarh University are as follows:










Name


Achievements


Photo










Bhagwan Singh


Asian Games 2018 Medal Winner & National Gold Medalist in Rowing 














Tanya Mittal


Miss Tourism Universe & TedxYouth Speaker 














Navv Inder


Punjabi Singer












Anchita Mishra


India News Reporter












Parry G


Bollywood Rapper, First rapper ever to feature in India’s Got Talent Grand Finale 














Shashi Chopra


International Medalist in Boxing
























How to Reach Chandigarh University?


Chandigarh University is located on NH 5, Chandigarh Ludhiana Highway in the Mohali district of Punjab State. Students and parents can reach Chandigarh University through different modes of transportation including Bus, Train and Flight.










Nearest Mode of Transportation


Distance










Chandigarh Railway Station


27 Km






Bus Stand- ISBT Sec 43


(Take Bus No 20 to the Kharar Bus Stand and then proceed to the campus by auto)


18 Km 






Chandigarh International Airport 


37 Km 














Chandigarh University Faculty 


Chandigarh University faculty
 is well-educated and experienced in their field of education. The university has launched an 
International Faculty Exchange Programme
 (IEFP) allowing students to interact with global faculty. The university invites famous personalities for guest lectures like APJ Abdul Kalam, the Dalai Lama, Muhammad Yunus, Wole Soyinka, etc. 


Chandigarh University has a student-faculty ratio of 
14:1
. The university has 
54.45% male faculty
 and 
45% female faculty
 among which there are 22% of international faculty members. Chandigarh University faculty comes from 23 states and 2 union territories. The university has 1,300+ Ph.D. degree holders and around 450+ faculty members are pursuing their Ph.D. The
 faculty
 has published 
10,000+ research 
in the latest journals. 






Chandigarh University Departments


Chandigarh University has a total of 
18 Departments
 
under its aegis that provide several courses ranging from medical, law, humanities, engineering, management, etc. The table below mentions all the 
departments under Chandigarh University
: 










Chandigarh University Departments 










Institute of Allied Health Sciences 


School of Business


Institute of Computing






Institute of Pharma Sciences 


Institute of Bio-Technology 


Institute of Architecture 






Institute of Liberal Arts and Humanities 


Institute of Sciences 


Institute of Finance & Accounting 






Institute of Legal Studies 


Institute of Agricultural Sciences 


Institute of Media Studies 






Institute of Films and Visual Arts 


Institute of Engineering


Institute of Design 






Institute of Tourism and Hospitality Management 


Institute of Teachers Training and Research 


Institute of Physical Education & Sports














Chandigarh University Collaborations 


Chandigarh University has collaborated with 
486 Global Universities from 95 countries
. The university also has several programs to enable students to visit the universities and gain valuable academic and social exposure. Some of those programs are mentioned below:




Higher Education Programs:
 Students can visit international universities for certificate/ diploma programs or pursue a master's degree in a decided field.


International Exposure Program (Summer/Winter): 
The university provides summer and winter school opportunities for its students. Students can have international exposure without disturbing their academic schedule. These courses are short-duration programs that last for 2-4 weeks. 


Volunteer Internship: 
This allows universities to visit the host countries and do a volunteer internship for a couple of weeks. The interns are recruited year-round on a semester basis.




The table below shows some of the partnered universities of Chandigarh University










Chandigarh University Collaborations










Illinois State University


Florida State University


Youngstown State University






Deakin University


Birmingham City University


Cape Breton University






Western Sydney University


Keele University


Royal Roads University














Chandigarh University Student Reviews 


Chandigarh University's overall rating at Collegedunia is 
4.4
 
out of 5
 based on the rating given by 3,000+ students. The university is rated based on its academic curriculum, placement, infrastructure, hostel, faculty, and social life. The likes and dislikes about the college are given below along with the 
Chandigarh University Reviews
:


Likes about Chandigarh University




Placements


Scholarships


Campus and College Life




Dislikes about Chandigarh University




Student Faculty Ratio


Busy Schedule 




Here is the rating for various spheres at Chandigarh University: 










Particulars


Ratings (Out of 5)










Academic


4.4






Placement


4.5






Infrastructure


4.3






Faculty


4.5






Accommodation


4.3






Social Life


4.5














Chandigarh University FAQs


Ques. Is 
Chandigarh University
 good for CSE?




Ans. 
Chandigarh University is one of the top institutions for pursuing a CSE degree. It has been ranked 38
th
 for Engineering according to NIRF Ranking 2023. Moreover, the highest package offered during Chandigarh University Placement 2023 was INR 54.75 Lakhs for the Engineering course only. 




Ques. What is the address of Chandigarh University?




Ans.
 Chandigarh University is located in Gharuan, at a distance of 27 Km from Chandigarh Railway Station. The official address of Chandigarh University is “NH-05, Ludhiana - Chandigarh State Hwy, Sahibzada Ajit Singh Nagar, Punjab 140413”.




Ques. Is Chandigarh University UGC approved?




Ans. 
Yes, Chandigarh University is approved by UGC and various other boards such as AICTE, BCI, NCHMCT, PCI, COA, NCTE, AIU, and CSI. 




Ques. Is Chandigarh University costly?




Ans. 
Chandigarh University is comparatively cheaper in comparison to the other top private universities in India. Apart from that, the university offers numerous merit scholarships to students which include huge concessions in the tuition fees.




Ques. Which course is Chandigarh University famous for?




Ans. 
Chandigarh University is famous for three major courses namely B.Tech, MBA, and BBA programmes. These three courses are the most popular courses with a huge number of applications every year.




Ques. Is Chandigarh University private or government?




Ans. 
Chandigarh University is a private university established in 2012 in Mohali, India. 




Ques. Are there international students at Chandigarh University?




Ans.
 Yes, Chandigarh University has international students from more than 50 countries studying at its campus. Chandigarh University has a very diverse crowd and a thriving campus culture which helps students become more culturally nuanced. 




Ques. What is the NAAC Grade of Chandigarh University?
 




Ans. 
Chandigarh University has been awarded the NAAC Grade of A+ with a CGPA of 3.28. It is the youngest university in India to be awarded an A+ grade in its first round of accreditations. 




Ques.
 Is there a scholarship program available at Chandigarh University?




Ans. 
