name,lat,lon
Acharya Nagarjuna University,16.3766763,80.52752607
Adamas University,22.7381495,88.45658799
Adesh University,30.2204968,75.05902194
Adikavi Nannaya University,17.0657139,81.8733457
Agriculture University,8.9811292,76.8108772
Ahmedabad University,23.03920565,72.55585035
Akal University,31.81433835,75.38564209
Alagappa University,10.0781833,78.79902717
Aliah University,22.59043525,88.48572361
Aligarh Muslim University,27.9151981,78.07874075
Alliance University,12.72975865,77.70876034
AMITY University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
AMITY University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amrita Vishwa Vidyapeetham,16.45606295,80.53816324
Anand Agricultural University,22.5357762,72.9748028
Anant National University,23.0308404,72.4271753
Andhra Kesari University,15.485154,80.04367542
Andhra University,17.730362,83.32276091
Anna University,13.0083174,80.2334438
Annamalai University,11.390716,79.71149277
Anurag University,17.41941005,78.65676873
Apex university,28.96838415,77.7364354
Arunachal Pradesh University,27.1485356,93.71717141
Ashoka University,28.94690065,77.1014386
Assam Agricultural University,26.71940915,94.19994442
Assam Don Bosco University,26.1297247,91.6193752
Assam Down Town University,26.2015512,91.86119926
Assam Science & Technology University,26.1413108,91.666461
Assam University,24.6844556,92.75095617
Assam Women's University,26.7186891,94.1853178
Atria University,13.03283755,77.5917436
Avantika University,23.0855586,75.713371
Ayush and Health Sciences University of Chhattisgarh,21.1044748,81.75308364
Azim Premji University,12.844003,77.77568396
Azim Premji University,12.844003,77.77568396
Baba Farid University of Health Sciences,30.6836576,74.7348714
Baba Ghulam Shah Badshah University,33.39463555,74.34584264
Babasaheb Bhimrao Ambedkar Bihar University,26.1099745,85.3770347
Babasaheb Bhimrao Ambedkar University,26.76943095,80.92559022
Babu Banarasi Das University,26.888806,81.0589205
Baddi University of Emerging Sciences & Technology,30.9520107,76.78233035
Bahra University,30.78115575,76.61765661
Banaras Hindu University,25.2663747,82.9904648
Banda University of Agriculture & Technology,25.5297341,80.33488505
Bangalore University,12.94393425,77.50918054
Bengaluru City University,12.97483375,77.58065473
Bengaluru Dr. B. R. Ambedkar School of Economics University,12.94945565,77.51710056
Bengaluru North University,12.95056825,77.50028146
Bennett University,28.45061085,77.58391182
Berhampur University,19.2992205,84.88158613
Bhabha University,19.0337334,72.92559826
Bhagat Phool Singh Mahila Vishwavidyalaya,29.1537763,76.80487581
Bharath Institute of Higher Education & Research,12.90806315,80.14014109
Bharathidasan University,10.67566,78.74201488
Bharati Vidyapeeth,18.51361895,73.81993734
Bhupendra Narayan Mandal University,25.9366042,86.79437266
Bihar Agricultural University,25.2383952,87.05065963
Biju Patnaik University of Technology,22.2459907,84.81726583
Birla Institute of Technology,23.41756945,85.43940937
Birla Institute of Technology & Science,28.35866475,75.58825578
Birsa Agricultural University,23.4315118,85.30772485
Biswa Bangla Biswabidyalay,23.6394895,87.6786949
Bodoland University,26.4698215,90.296965
Brainware University,22.73175235,88.49904425
Bundelkhand University,25.4530538,78.609738
Burdwan University,23.249952,87.84544069
C. U. Shah University,22.74913,71.70276549
Calcutta University,22.48473255,88.34475274
Calicut University,11.13637895,75.89055308
Capital University,8.5237709,76.9452618
Central Agricultural University,24.8130066,93.89038729
Central Institute of Fisheries Education,19.1394164,72.81640136
Central Sanskrit University,30.1415366,78.59922176
Central University of Gujarat,23.2451809,72.6619837
Central University of Jharkhand,23.44217775,85.14552768
Central University of Karnataka,17.4316166,76.67178613
Central University of Kerala,12.39316345,75.09234787
Central University of Punjab,30.1401932,74.7909105
Central University of Rajasthan,26.6276045,75.02880205
Central University of Tamil Nadu,10.8125257,79.61116665
Centurion University of Technology and Management,20.17524335,85.70674393
Chaitanya,19.1717529,72.88187731
Chanakya National Law University,25.59465255,85.13354205
Chanakya University,13.2246581,77.75702489
Chandigarh University,30.76863985,76.5750483
Chandra Shekhar Azad University of Agriculture & Technology,26.49014445,80.30111143
Chaudhary Bansi Lal University,28.8133324,76.1273721
Chaudhary Charan Singh University,28.967017,77.7388619
Chaudhary Devi Lal University,29.54766675,75.04316363
Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,32.097918,76.54343028
Chennai Mathematical Institute,12.82827285,80.22039265
Chhatrapati Shahu Ji Maharaj University,26.5030118,80.26783867
Children's University,17.4328865,78.3994454
Chitkara  University,30.51571185,76.65919462
Chitkara University,30.51571185,76.65919462
Christ,28.6839614,77.41044298
Cluster University,12.979603,77.58367636
CMR University,13.0193897,77.64230676
"COER University, Roorkee",29.89054285,77.95945525
Cooch Behar Panchanan Barma University,26.3215381,89.4695667
Cotton University,26.18728425,91.74669628
D Y Patil International University,18.6458827,73.7601197
D. Y. Patil,16.71212235,74.24100064
D. Y. Patil University,18.6458827,73.7601197
Damodaram Sanjivayya National Law University,17.78903575,83.10977522
Dayalbagh Educational Institute,27.2279653,78.01349
Dayananda Sagar University,12.65954,77.45076517
Defence Institute of Advanced Technology,18.4242379,73.7587028
Delhi Pharmaceutical Sciences & Research University,28.5170319,77.22417041
Delhi Technological University,28.75081525,77.11627652
Dev Sanskriti Vishwavidyalaya,29.9994088,78.19369864
Dev Sanskriti Vishwavidyalaya,29.9994088,78.19369864
Dharmsinh Desai University,22.6797254,72.880186
Dhirubhai Ambani University,23.1881176,72.62799703
DIT University,30.3983396,78.0753455
Doon University,30.26730765,78.04533212
Dr C V Raman University,22.01458055,82.95938931
Dr C. V. Raman University,22.01458055,82.95938931
Dr. B. R. Ambedkar University,18.28183295,83.8176417
Dr. B.R. Ambedkar University,18.28183295,83.8176417
Dr. B.R. Ambedkar University,18.28183295,83.8176417
Dr. Babasaheb Ambedkar Marathwada University,18.23334845,76.04326493
Dr. C.V. Raman University,22.01458055,82.95938931
Dr. M.G.R. Educational and Research Institute,13.06544775,80.15989369
Dr. N.T.R. University of Health Sciences,16.51660845,80.66971215
Dr. Y.S.R. Horticultural University,16.8840128,81.45384721
Dravidian University,12.79766715,78.30355878
English & Foreign Languages University,17.42417835,78.52418526
Era University,30.26802515,77.99611868
Eternal University,30.7558509,77.2987962
Fakir Mohan University,21.54853255,86.81641868
Flame University,18.5237945,73.73063777
Forest Research Institute,30.34191525,78.00439005
Future University,17.4213524,78.5211463
G. D. Goenka University,28.26414325,77.0648412
Galgotias University,28.3671232,77.54045994
Ganpat University,23.52513675,72.45558013
Garden City University,13.02543545,77.70674835
Gati Shakti Vishwavidyalaya,22.2819829,73.20020699
Gauhati University,26.1534107,91.66576471
Gautam Buddha University,28.4226598,77.5257227
Geetanjali University,17.4052787,78.5161561
Goa University,15.4552727,73.83775024
Gokhale Institute of Politics & Economics,18.5208688,73.8327706
Gondwana University,20.1770881,79.96407995
Gopal Narayan Singh University,24.94290185,84.1018534
Graphic Era,30.26802515,77.99611868
Graphic Era Hill University,30.27279465,78.00061101
Gujarat National Law University,23.151308,72.65993623
Gujarat Technological University,23.10586715,72.59374536
Gujarat University,23.0373068,72.54474811
Gulbarga University,17.31375365,76.87561122
Guru Nanak Dev University,31.6401718,74.82266846
Guru Nanak University,31.6401718,74.82266846
Gurugram University,28.42364965,77.06562478
Gyanveer University,23.8738227,78.6069745
Harcourt Butler Technical University,26.50013055,80.28601994
Hassan University,8.50152955,76.94658816
Hemchandracharya North Gujarat University,23.86325975,72.13368776
Hemvati Nandan Bahuguna Garhwal University,30.22451565,78.80291357
Hidayatullah National Law University,21.10728235,81.75838125
Himachal Pradesh National Law University,31.1599707,77.0454562
Himachal Pradesh University,32.097918,76.54343028
Himalayan University,34.1711842,77.46477058
Hindi University,20.76841435,78.59527229
ICFAI University,25.52674545,90.16044901
ICFAI University,25.52674545,90.16044901
ICFAI University,25.52674545,90.16044901
ICFAI University,25.52674545,90.16044901
IIMT University,28.99910735,77.76093295
IMS Unison University,30.3998367,78.0778018
Indian Agricultural Research Institute,18.55166545,73.80721123
Indian Institute of Mass Communication (IIMC),20.9394553,77.7950911
Indian Institute of Science,13.0222347,77.56718325
Indian Institute of Space Science and Technology,8.6266888,77.03368752
Indian Institute of Teacher Education,23.23695725,72.63654408
Indian Maritime University,17.82710265,83.07995148
Indian Veterinary Research Institute,28.3992552,79.43710945
Indira Gandhi Delhi Technical University for Women,28.6644604,77.23260634
Indira Gandhi Institute of Development Research,19.1665551,72.87859141
Indira Gandhi National Open University,28.4956381,77.20410559
Indira Gandhi University,28.4956381,77.20410559
Institute of Advanced Research,10.7827236,76.80788463
Institute of Advanced Studies in Education,23.168574,79.9439341
Institute of Chemical Technology,19.02391285,72.85876655
Integral University,26.9586164,81.0000896
International Institute of Information Technology,18.58456075,73.73677405
International Institute of Information Technology,18.58456075,73.73677405
International Institute of Information Technology,18.58456075,73.73677405
"International Sports University, Maharashtra",18.5555911,73.82368374
ITM University,21.2496366,81.6460891
ITM University,21.2496366,81.6460891
Jadavpur University,22.49952155,88.37114925
Jagran Lakecity University,23.1754563,77.3875459
Jai Narain Vyas University,26.24414725,73.02019545
Jai Prakash University,25.7829463,84.78283936
Jain,31.5637647,77.3673281
Jaipur National University,26.84832,75.85939957
Jamia Hamdard,28.5153806,77.2502919
Jamia Millia Islamia,28.55849025,77.28116474
Jammu University,32.7182619,74.86943447
Jawaharlal Nehru Architecture and Fine Arts University,17.4031425,78.45595493
Jawaharlal Nehru Technological University,16.9786772,82.2411916
Jawaharlal Nehru Technological University,16.9786772,82.2411916
Jawaharlal Nehru University,28.54016675,77.16456005
Jaypee Institute of Information Technology,28.6295406,77.37250484
Jaypee University,31.016338,77.07147899
Jaypee University of Engineering & Technology,24.4355362,77.16235209
Jaypee University of Information Technology,31.016338,77.07147899
JIS University,22.9590369,88.44700895
Jiwaji University,26.2026748,78.19446505
JSPM University,18.5854391,74.0032189
Kakatiya University,18.0269402,79.55303089
Kalinga Institute of Social Sciences,20.3630702,85.8106077
Kalinga University,21.1680808,81.8209159
Kalyani University,22.9848568,88.44603802
Kannada University,15.2831818,76.4907132
Kannur University,11.8675005,75.37442874
Karnatak  University,15.4378056,74.98195469
Karnataka  State Law University,15.3992372,75.07298911
Karnataka  State Open University,12.31586165,76.62409809
Karnataka Samskrit University,12.95929465,77.57241641
Karnavati University,23.20223775,72.58361048
Karpagam Academy of Higher Education,10.91742715,76.98825923
Kashmir University,34.134053,74.83672753
Kazi Nazrul University,23.69442205,86.9952106
Kerala Kalamandalam,10.7371278,76.27906398
Kerala University,8.5031874,76.94699774
Kerala University of Fisheries & Ocean Studies,9.91049635,76.31729161
Kerala Veterinary & Animal Sciences University,11.5406062,76.01954406
KLE Technological University,15.36900665,75.12365706
Koneru Lakshmaiah Education Foundation,16.44169835,80.62477221
Krantiguru Shyamji Krishna Verma Kachchh University,23.2121582,69.65660826
Krishna Kanta Handiqui State Open University,26.0931892,91.6180037
Krishna University,16.1387884,81.0997855
Kumar Bhaskar Varma Sanskrit & Ancient Studies University,26.48511745,91.45676489
Kumaun University,29.3911519,79.4459029
Kurukshetra University,29.95826275,76.81563045
Kuvempu University,13.73270855,75.62819919
Lakshmibai National Institute of Physical Education,26.2191437,78.19250159
Lakulish Yoga University,23.1268969,72.538967
Lalit Narayan Mithila University,26.16528925,85.89998667
Lovely Professional University,31.2534122,75.70340289
M.S. Ramaiah University of Applied Sciences,13.0184747,77.5091024
Madan Mohan Malaviya University of Technology,26.7314167,83.43733473
Madhav University,24.55777,72.84798161
Madras University,12.99415605,80.23668255
Madurai Kamraj University,9.94370255,78.0098671
Magadh University,24.68716325,84.96564737
Maharaja Ganga Singh University,28.03715535,73.25977106
Maharaja Surajmal Brij University,27.21158475,77.51549485
Maharani Cluster University,12.979603,77.58367636
Maharashtra Animal & Fishery Sciences University,21.1574834,79.0457532
Maharishi Markandeshwar,30.25093565,77.04544601
Maharishi Markandeshwar University,30.25093565,77.04544601
Maharishi Markandeshwar University,30.25093565,77.04544601
Maharishi University of Information Technology,26.9302879,80.9278433
Mahatama Gandhi University,20.76841435,78.59527229
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,20.76841435,78.59527229
Mahatma Gandhi University,9.65860235,76.53288164
Mahatma Gandhi University,9.65860235,76.53288164
Mahatma Jyoti Rao Phoole University,26.891177,75.77544979
Mahatma Jyotiba Phule Rohilkhand University,28.3677741,79.45700362
Mahatma Phule Krishi Vidyapeeth,19.3491448,74.64610516
Mahaveer University,26.8760984,75.8111925
Mahindra University,17.56846955,78.43628067
Manav Bharti University,30.87247145,77.08675043
Manav Rachna University,28.44958015,77.28343646
Mandsaur University,24.0774131,75.02904378
Mangalore University,12.81608485,74.92449278
Manipal Academy of Higher Education,13.12587335,77.58887642
Manipal University,26.8429063,75.56542888
Manipur Technical University,24.7978101,93.9048674
Manipur University,24.7545772,93.92788825
Marathwada Agricultural University,19.2420724,76.78352046
Martin Luther Christian University,25.5705172,91.9216394
Marwadi University,22.3676011,70.79709179
Maulana Abul Kalam Azad University of Technology,22.5964916,88.4174395
Maulana Azad National Urdu University,12.9526061,77.51897245
Maulana Azad University,22.5964916,88.4174395
Mewar University,25.03133775,74.63651993
MGM University,17.4345308,78.4328895
Mizoram University,23.7357935,92.66453753
Mohan Babu University,13.6203464,79.29029772
Mohanlal Sukhadia University,24.5943688,73.7316634
Mother Teresa Women's University,10.27003835,77.48008453
Mumbai University,19.0706167,72.8585523
Munger University,25.36732265,86.48434227
Mysore University,12.3059327,76.6403692
Nagaland University,25.72717725,94.09442665
Nalanda Open University,25.6171031,85.1413765
Nalanda University,25.0263839,85.41363584
Narsee Monjee Institute of Management Studies,19.1034417,72.83645895
National Dairy Research Institute,29.709655,76.97358893
National Law Institute University,23.1868368,77.36408204
National law School of India University,12.95290345,77.51580025
National Law University,28.59961805,77.0242686
National Law University,28.59961805,77.0242686
National Law University,28.59961805,77.0242686
National University of Study & Research in Law,23.45253315,85.31738239
Nava Nalanda Mahavihara,25.1281352,85.44559405
Navrachana University,22.29269885,73.12182992
Netaji Subhas University,28.6109477,77.03845634
Netaji Subhas University of Technology,28.6109477,77.03845634
NIIT University,27.96128775,76.40251819
NIMS University,27.18932325,75.953283
Nirma University,23.1283839,72.544473
NITTE,13.1840438,74.9337641
Nizam's Institute of Medical Sciences,17.42217535,78.45182149
Noida International University,28.37390315,77.54131056
Noorul Islam Centre for Higher Education,8.2492332,77.3502525
North East Frontier Technical University,28.15639565,94.79732406
North Eastern Hill University,25.61385235,91.90146704
Nrupathunga University,12.9730084,77.58560235
Odisha University of Health Sciences,20.25587475,85.83166346
Odisha University of Technology and Research,20.27545065,85.77666566
Osmania University,17.41179405,78.52743697
P. P. Savani University,21.1385174,72.77398925
Palamuru University,16.71860255,77.98235006
Panjab University,30.76046215,76.7663284
Parul University,22.2887492,73.3638405
Patliputra University,25.6023902,85.1594609
PDM University,28.689281,76.9511988
People's University,34.1653913,77.46749199
Periyar University,11.71874505,78.07844414
PES University,12.9342358,77.53432388
Pondicherry University,12.02286805,79.85094146
Potti Sreeramulu Telugu University,17.39529305,78.46994905
Pratap University,27.2263568,75.930696
Presidency  University,22.5765464,88.3635222
Presidency University,22.5765464,88.3635222
Prestige University,12.8477056,74.8633541
Professor Jayashankar Telangana State Agricultural University,17.32180995,78.41138652
Punjab Engineering College,30.76648685,76.7850788
Punjabi University,30.3580954,76.45032538
Rabindra Bharati University,22.62696605,88.3804981
Raffles University,28.64189455,77.17658309
Raiganj University,25.60455055,88.12834208
Rajasthan University,26.8877852,75.8138009
Rajendra University,25.9860034,85.6753748
Rajiv Gandhi University,27.1514552,93.76658861
Rajiv Gandhi University of Knowledge Technologies,14.3330863,78.5413809
Rajiv Gandhi University of Knowledge Technology,18.2874129,83.8256301
Rama University,28.689281,76.9511988
Ramdeobaba University,21.1768645,79.0606934
Ranchi University,23.37180035,85.32425261
Rashtrasant Tukadoji Maharaj Nagpur University,21.14771745,79.03924327
Ravenshaw University,20.4628024,85.89527063
Rayat Bahra University,30.78115575,76.61765661
Reva University,13.1154491,77.63579045
RK University,22.2410306,70.90187975
RKDF University,23.185204,77.450875
RV University,12.92340265,77.49968474
Sage University,22.6365885,75.85234719
Sai University,21.4976889,83.90349869
Sambalpur University,21.48037555,83.88261768
Sandip University,19.9634818,73.6686905
Sandip University,19.9634818,73.6686905
Sangam University,25.2787184,74.62094092
Sanjay Ghodawat University,16.74456625,74.38390055
Sanskriti University,27.6888985,77.5184926
Santosh,13.0886119,80.2756053
Sapthagiri NPS University,13.0679336,77.50420379
Sardar Patel University,22.46811545,73.07644387
Sardar Patel University,22.46811545,73.07644387
Sarvepalli Radhakrishnan University,12.02875145,79.84780998
Sathyabama Institute of Science and Technology,12.8734977,80.21986552
Saurashtra University,22.29172215,70.74203438
Saveetha Institute of Medical and Technical Sciences,13.0245862,80.015611
Savitribai Phule Pune University,18.55284405,73.82662897
Scope Global Skills University,23.1536966,77.4792392
Sharda University,28.4734073,77.4829339
Shiv Nadar University,28.52571235,77.57445498
Shivaji University,16.67796705,74.25156159
Shobhit University,29.0708985,77.71265397
Shri Mata Vaishno Devi University,32.94141025,74.95415224
Shri Shankaracharya Professional University,21.21566885,81.30673222
Shri Vishwakarma Skill University,28.44916555,77.07563295
Shyam University,28.9665587,77.7376995
Siddharth University,27.43993755,83.13216044
Sidho-Kanho-Birsha University,23.3613452,86.3397664
Sikkim Manipal University,27.31742695,88.59735662
Sikkim University,27.3109734,88.5950683
Singhania University,24.6173088,73.9919637
South Asian University,28.48497725,77.20102224
Spicer Adventist University,18.56528345,73.82001637
Sri Aurobindo University,17.4055852,78.5148806
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,12.8602047,79.72987067
Sri krishnadevaraya University,14.6103133,77.6472849
Sri Ramachandra Institute of Higher Education and Research,13.04071385,80.14280967
Sri Sai University,14.1631721,77.8092262
Sri Sathya Sai Institute of Higher Learning,14.1631721,77.8092262
Sri Venkateswara Institute of Medical Sciences,13.6377462,79.4043061
Sri Venkateswara University,16.3675326,80.4361233
Sri Venkateswara Veterinary University,16.3675326,80.4361233
Srinivas University,17.4152247,78.5078885
SRM University,28.7976827,77.53888539
SRM University,28.7976827,77.53888539
St. Aloysius,10.49744375,76.18138305
St. Joseph's University,12.96275945,77.5967014
"St. Xavier's University, Kolkata",22.5604079,88.48801112
Sumandeep Vidyapeeth,22.2923132,73.320925
Surajmal University,28.8838979,79.51112365
Swami Vivekanand University,23.8191068,78.7995351
Swami Vivekananda University,22.7584675,88.3961163
Swami Vivekananda Yoga Anusandhana Samsthana,12.7546686,77.62437049
Swarnim Gujarat Sports University,23.2318125,72.63845274
Symbiosis International University,18.5333169,73.83358016
Tamil Nadu Fisheries University,10.82259555,79.83322081
Tamil Nadu Open University,13.00984745,80.23278155
Tamil Nadu Physical Education and Sports University,12.83207765,80.14033458
Tamil University,10.7496345,79.0932687
Tamilnadu Dr. Ambedkar Law University,12.97721795,80.2411644
Tantia University,29.8718256,73.80768163
Tata Institute of Fundamental Research,18.90710855,72.80491758
Tata Institute of Social Sciences,19.04428125,72.9125607
Techno India University,22.5760302,88.4284409
Techno India University,22.5760302,88.4284409
Telangana University,17.32180995,78.41138652
Tezpur University,26.70172915,92.83019323
Thapar Institute of Engineering & Technology,30.3545336,76.36579693
The Global University,17.4027701,78.5202541
The ICFAI University,30.3627863,77.87674401
The ICFAI University,30.3627863,77.87674401
The West Bengal University of Health Sciences,22.59175005,88.41232712
Thiruvalluvar University,13.0299809,79.21077425
Thunchath Ezhuthachan Malayalam University,10.8832601,75.89488049
Tilak Maharashtra Vidyapeeth,18.49330795,73.86479217
Tumkur University,13.3388927,77.12074398
UKA Tarsadia University,21.0676549,73.13123636
United University,25.3957121,81.7583556
University of Agricultural Sciences,15.4956221,74.9825799
University of Agricultural Sciences Dharwad,15.49655475,74.98494917
University of Allahabad,25.4297089,81.77282962
University of Delhi,28.5846757,77.16358981
University of Engineering & Management,22.48473255,88.34475274
University of Engineering and Management,22.55985855,88.4899296
University of Gour Banga,24.9835058,88.13879925
University of Horticultural Sciences,13.9731654,75.57840716
University of Hyderabad,17.4534271,78.32674059
University of Kota,25.11316345,75.82258252
University of Ladakh,34.185416,77.41121724
University of Lucknow,26.92608625,80.93812366
University of North Bengal,26.7097085,88.3538182
University of Patanjali,29.9086588,78.00174392
University of Petroleum and Energy Studies,30.41761,77.96826771
"University of Science & Technology, Meghalaya",26.1003645,91.8451331
University of Technology,29.86616555,77.89573483
University of Visvesvaraya College of Engineering,12.97474505,77.58597332
Utkal University,20.30232975,85.84240763
Uttarakhand Open University,29.1865791,79.51174578
Uttarakhand Technical University,30.3432979,77.9409766
Uttaranchal University,30.34003905,77.95122538
Vardhman Mahaveer Open University,26.8760984,75.8111925
Veer Bahadur Singh Purvanchal University,25.8316832,82.68006569
Veer Kunwar Singh University,25.5511906,84.6568635
Veer Narmad South Gujarat University,21.1562179,72.78991644
Veer Surendra Sai University of Technology,21.4976889,83.90349869
Velagapudi Ramakrishna Siddhartha Engineering College,16.4852497,80.69298454
Vellore Institute of Technology,12.96972795,79.16069433
Vidyashilp University,13.20169805,77.60084031
Vijayanagara Sri Krishnadevaraya University,15.15101445,76.87634342
Vijaybhoomi University,19.02121355,73.52244262
Vinoba Bhave University,24.02167385,85.37154118
Vishwakarma University,18.4591671,73.88377178
Visva Bharati,23.6794559,87.689454
VIT Bhopal University,23.0755086,76.8497778
VIT-AP University,16.49280345,80.49824267
William Carey University,25.59134025,91.91777011
World University Of Design,28.94974225,77.10108597
Woxsen University,17.6446731,77.79825766
Yenepoya,12.89822635,74.82407499
Yogi Vemana University,14.4715645,78.70824943
